,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
463,547,PT07M11.00S,2021-07-15T03:08:40.5Z,4,REGULAR,rebound,offensive,[],1626192,,,1610612749,86,89,2021-07-15T03:08:40Z,5380000,,,0,,P. Connaughton REBOUND (Off:2 Def:6),[1626192],1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,546,8,6,2,,,,,,,,,,,
464,548,PT07M10.00S,2021-07-15T03:08:46.7Z,4,REGULAR,turnover,bad pass,[],1626192,,,1610612749,86,89,2021-07-15T03:08:58Z,5390000,,,0,,P. Connaughton bad pass TURNOVER (1 TO),"[1626192, 203109]",1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,1,Crowder,203109,,,,,,,,
465,549,PT07M10.00S,2021-07-15T03:08:46.7Z,4,REGULAR,steal,,[],203109,,,1610612756,86,89,2021-07-15T03:08:52Z,5400000,,,0,,J. Crowder STEAL (3 STL),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
466,550,PT07M10.00S,2021-07-15T03:08:53.4Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626192,,,1610612756,86,89,2021-07-15T03:09:44Z,5410000,,,0,,P. Connaughton personal FOUL (4 PF) (Crowder 2 FT),"[1626192, 203109]",1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,2004,4,0,Crowder,203109,,,
467,552,PT07M10.00S,2021-07-15T03:09:53.0Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],203109,,,1610612756,86,89,2021-07-15T03:09:53Z,5430000,,,0,,MISS J. Crowder Free Throw 1 of 2,[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,Missed,,,,,,,,,,,,,,,,,,,
468,553,PT07M10.00S,2021-07-15T03:09:53.0Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,86,89,2021-07-15T03:09:53Z,5440000,,,0,,TEAM offensive REBOUND,[],1610612756,PHX,,,,,,,,,,,,,,,,552,,,,,,,,,,,,,,
469,554,PT07M10.00S,2021-07-15T03:10:08.8Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],203109,,,1610612756,86,90,2021-07-15T03:10:08Z,5450000,,,0,,J. Crowder Free Throw 2 of 2 (10 PTS),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,Made,10,,,,,,,,,,,,,,,,,,
470,555,PT07M09.00S,2021-07-15T03:10:24.4Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,86,90,2021-07-15T03:10:24Z,5460000,,,0,,MIL Timeout,[],1610612749,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,556,PT07M09.00S,2021-07-15T03:12:52.4Z,4,REGULAR,substitution,out,[],1626192,,,1610612749,86,90,2021-07-15T03:13:35Z,5470000,,,0,,SUB out: P. Connaughton,[1626192],1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
472,557,PT07M09.00S,2021-07-15T03:12:52.4Z,4,REGULAR,substitution,in,[],203114,,,1610612749,86,90,2021-07-15T03:13:35Z,5480000,,,0,,SUB in: K. Middleton,[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
